Zone,Type,Is a Brand?,Is linked?,NIC URL
kosher,g,false,❌,nic.kosher
kp,cc,false,❌,nic.kp
kpmg,g,true,❌,nic.kpmg
kpn,g,true,❌,nic.kpn
kr,cc,false,✅,nic.kr
krd,g,false,❌,nic.krd
kred,g,false,❌,nic.kred
kuokgroup,g,true,❌,nic.kuokgroup
kw,cc,false,❌,nic.kw
ky,cc,false,❌,nic.ky
kyoto,g,false,❌,nic.kyoto
kz,cc,false,❌,nic.kz
la,cc,false,✅,nic.la
lacaixa,g,true,❌,nic.lacaixa
lamborghini,g,true,❌,nic.lamborghini
lamer,g,true,❌,nic.lamer
land,g,false,❌,nic.land
landrover,g,true,❌,nic.landrover
lanxess,g,true,❌,nic.lanxess
lasalle,g,true,❌,nic.lasalle
lat,g,false,❌,nic.lat
latino,g,false,❌,nic.latino
latrobe,g,true,❌,nic.latrobe
law,g,false,❌,nic.law
lawyer,g,false,❌,nic.lawyer
lb,cc,false,❌,nic.lb
lc,cc,false,✅,nic.lc
lds,g,true,❌,nic.lds
lease,g,false,❌,nic.lease
leclerc,g,true,❌,nic.leclerc
lefrak,g,true,❌,nic.lefrak
legal,g,false,❌,nic.legal
lego,g,true,❌,nic.lego
lexus,g,true,❌,nic.lexus
lgbt,g,false,❌,nic.lgbt
li,cc,false,✅,nic.li
lidl,g,true,❌,nic.lidl
life,g,false,❌,nic.life
lifeinsurance,g,false,❌,nic.lifeinsurance
lifestyle,g,false,❌,nic.lifestyle
lighting,g,false,❌,nic.lighting
like,g,true,❌,nic.like
lilly,g,true,❌,nic.lilly
limited,g,false,❌,nic.limited
limo,g,false,❌,nic.limo
lincoln,g,true,❌,nic.lincoln
link,g,false,✅,nic.link
live,g,false,❌,nic.live
living,g,false,❌,nic.living
lk,cc,false,✅,nic.lk
llc,g,false,❌,nic.llc
llp,g,false,❌,nic.llp
loan,g,false,✅,nic.loan
loans,g,false,❌,nic.loans
locker,g,true,❌,nic.locker
locus,g,true,❌,nic.locus
lol,g,false,❌,nic.lol
london,g,false,❌,nic.london
lotte,g,true,❌,nic.lotte
lotto,g,false,❌,nic.lotto
love,g,false,❌,nic.love
lpl,g,true,❌,nic.lpl
lplfinancial,g,true,❌,nic.lplfinancial
lr,cc,false,❌,nic.lr
ls,cc,false,❌,nic.ls
lt,cc,false,✅,nic.lt
ltd,g,false,❌,nic.ltd
ltda,g,false,❌,nic.ltda
lu,cc,false,✅,nic.lu
lundbeck,g,true,❌,nic.lundbeck
luxe,g,false,❌,nic.luxe
luxury,g,false,❌,nic.luxury
lv,cc,false,✅,nic.lv
ly,cc,false,✅,nic.ly
ma,cc,false,✅,nic.ma
madrid,g,false,❌,nic.madrid
maif,g,true,❌,nic.maif
maison,g,false,❌,nic.maison
makeup,g,true,❌,nic.makeup
man,g,true,❌,nic.man
management,g,false,❌,nic.management
mango,g,true,❌,nic.mango
map,g,false,❌,nic.map
market,g,false,❌,nic.market
marketing,g,false,❌,nic.marketing
markets,g,false,❌,nic.markets
marriott,g,true,❌,nic.marriott
marshalls,g,true,❌,nic.marshalls
mattel,g,true,❌,nic.mattel
mba,g,false,❌,nic.mba
mc,cc,false,❌,nic.mc
mckinsey,g,true,❌,nic.mckinsey
md,cc,false,❌,nic.md
me,cc,false,✅,nic.me
med,g,false,❌,nic.med
media,g,false,❌,nic.media
meet,g,false,❌,nic.meet
melbourne,g,false,❌,nic.melbourne
meme,g,false,❌,nic.meme
memorial,g,false,❌,nic.memorial
men,g,false,❌,nic.men
menu,g,false,❌,nic.menu
merckmsd,g,true,❌,nic.merckmsd
mg,cc,false,❌,nic.mg
mh,cc,false,❌,nic.mh
miami,g,false,❌,nic.miami
microsoft,g,true,❌,nic.microsoft
mil,g,false,❌,nic.mil
mini,g,true,❌,nic.mini
mint,g,true,❌,nic.mint
mit,g,true,❌,nic.mit
mitsubishi,g,true,❌,nic.mitsubishi
mk,cc,false,❌,nic.mk
ml,cc,false,❌,nic.ml
mlb,g,true,❌,nic.mlb
mls,g,false,❌,nic.mls
mm,cc,false,❌,nic.mm
mma,g,true,❌,nic.mma
mn,cc,false,❌,nic.mn
mo,cc,false,❌,nic.mo
mobi,g,false,❌,nic.mobi
mobile,g,false,❌,nic.mobile
moda,g,false,❌,nic.moda
moe,g,false,❌,nic.moe
moi,g,true,❌,nic.moi
mom,g,false,❌,nic.mom
monash,g,true,❌,nic.monash
money,g,false,❌,nic.money
monster,g,true,❌,nic.monster
mormon,g,true,❌,nic.mormon
mortgage,g,false,❌,nic.mortgage
moscow,g,false,❌,nic.moscow
moto,g,true,❌,nic.moto
motorcycles,g,false,❌,nic.motorcycles
mov,g,false,❌,nic.mov
movie,g,false,❌,nic.movie
mp,cc,false,❌,nic.mp
mq,cc,false,❌,nic.mq
mr,cc,false,❌,nic.mr
ms,cc,false,✅,nic.ms
msd,g,true,❌,nic.msd
mt,cc,false,❌,nic.mt
mtn,g,true,❌,nic.mtn
mtr,g,true,❌,nic.mtr
mu,cc,false,❌,nic.mu
museum,g,false,❌,nic.museum
music,g,false,❌,nic.music
mv,cc,false,❌,nic.mv
mw,cc,false,❌,nic.mw
mx,cc,false,✅,nic.mx
my,cc,false,✅,nic.my
mz,cc,false,❌,nic.mz
na,cc,false,❌,nic.na
nab,g,true,❌,nic.nab
nagoya,g,false,❌,nic.nagoya
name,g,false,❌,nic.name
navy,g,false,❌,nic.navy
nba,g,true,❌,nic.nba
nc,cc,false,❌,nic.nc
ne,cc,false,❌,nic.ne
nec,g,true,❌,nic.nec
net,g,false,✅,nic.net
netbank,g,true,❌,nic.netbank
netflix,g,true,❌,nic.netflix
network,g,false,❌,nic.network
neustar,g,true,❌,nic.neustar
new,g,false,❌,nic.new
news,g,false,❌,nic.news
next,g,true,❌,nic.next
nextdirect,g,true,❌,nic.nextdirect
