Zone,Type,Brand,AutoLinked
office,gtld,true,false
okinawa,gtld,false,false
olayan,gtld,true,false
olayangroup,gtld,true,false
ollo,gtld,true,false
om,cctld,false,true
omega,gtld,true,false
one,gtld,false,false
ong,gtld,false,false
onl,gtld,false,false
online,gtld,false,false
ooo,gtld,false,false
open,gtld,true,false
oracle,gtld,true,false
orange,gtld,true,false
org,gtld,false,true
organic,gtld,false,false
origins,gtld,true,false
osaka,gtld,false,false
otsuka,gtld,true,false
ott,gtld,true,false
ovh,gtld,false,false
pa,cctld,false,true
page,gtld,false,false
panasonic,gtld,true,false
paris,gtld,false,false
pars,gtld,false,false
partners,gtld,false,false
parts,gtld,false,false
party,gtld,false,false
pay,gtld,false,false
pccw,gtld,true,false
pe,cctld,false,true
pet,gtld,false,false
pf,cctld,false,true
pfizer,gtld,true,false
pg,cctld,false,true
ph,cctld,false,true
pharmacy,gtld,false,false
phd,gtld,false,false
philips,gtld,true,false
phone,gtld,false,false
photo,gtld,false,false
photography,gtld,false,false
photos,gtld,false,false
physio,gtld,false,false
pics,gtld,false,false
pictet,gtld,true,false
pictures,gtld,false,false
pid,gtld,false,false
pin,gtld,false,false
ping,gtld,true,false
pink,gtld,false,false
pioneer,gtld,true,false
pizza,gtld,false,false
pk,cctld,false,true
pl,cctld,false,true
place,gtld,false,false
play,gtld,false,false
playstation,gtld,true,false
plumbing,gtld,false,false
plus,gtld,false,false
pm,cctld,false,true
pn,cctld,false,true
pnc,gtld,true,false
pohl,gtld,true,false
poker,gtld,false,false
politie,gtld,true,false
porn,gtld,false,false
post,gtld,false,false
pr,cctld,false,true
praxi,gtld,true,false
press,gtld,false,false
prime,gtld,true,false
pro,gtld,false,true
prod,gtld,true,false
productions,gtld,false,false
prof,gtld,false,false
progressive,gtld,true,false
promo,gtld,false,false
properties,gtld,false,false
property,gtld,false,false
protection,gtld,false,false
pru,gtld,true,false
prudential,gtld,true,false
ps,cctld,false,true
pt,cctld,false,true
pub,gtld,false,false
pw,cctld,false,true
pwc,gtld,true,false
py,cctld,false,true
qa,cctld,false,true
qpon,gtld,false,false
quebec,gtld,false,false
quest,gtld,true,false
racing,gtld,false,false
radio,gtld,false,false
re,cctld,false,true
read,gtld,true,false
realestate,gtld,false,false
realtor,gtld,false,false
realty,gtld,false,false
recipes,gtld,false,false
red,gtld,false,false
redumbrella,gtld,true,false
rehab,gtld,false,false
reise,gtld,false,false
reisen,gtld,false,false
reit,gtld,false,false
reliance,gtld,true,false
ren,gtld,true,false
rent,gtld,false,false
rentals,gtld,false,false
repair,gtld,false,false
report,gtld,false,false
republican,gtld,false,false
rest,gtld,false,false
restaurant,gtld,false,false
review,gtld,false,false
reviews,gtld,false,false
rexroth,gtld,true,false
rich,gtld,false,false
richardli,gtld,true,false
ricoh,gtld,true,false
ril,gtld,true,false
rio,gtld,false,false
rip,gtld,false,false
ro,cctld,false,true
