Zone,Type,Brand,AutoLinked
im,cctld,false,true
imamat,gtld,true,false
imdb,gtld,true,false
immo,gtld,false,true
immobilien,gtld,false,true
in,cctld,false,true
inc,gtld,false,false
industries,gtld,false,true
infiniti,gtld,true,true
info,gtld,false,true
ing,gtld,false,true
ink,gtld,false,true
institute,gtld,false,true
insurance,gtld,false,false
insure,gtld,false,true
int,gtld,false,true
international,gtld,false,true
intuit,gtld,true,false
investments,gtld,false,true
io,cctld,false,true
ipiranga,gtld,true,true
iq,cctld,false,true
ir,cctld,false,true
irish,gtld,false,true
is,cctld,false,true
ismaili,gtld,true,false
ist,gtld,false,true
istanbul,gtld,false,true
it,cctld,false,true
itau,gtld,true,true
itv,gtld,true,false
jaguar,gtld,true,true
java,gtld,true,true
jcb,gtld,true,true
je,cctld,false,true
jeep,gtld,true,false
jetzt,gtld,false,true
jewelry,gtld,false,true
jio,gtld,true,false
jll,gtld,true,true
jm,cctld,false,true
jmp,gtld,true,false
jnj,gtld,true,false
jo,cctld,false,true
jobs,gtld,false,true
joburg,gtld,false,true
jot,gtld,false,false
joy,gtld,false,false
jp,cctld,false,true
jpmorgan,gtld,true,false
jprs,gtld,true,true
juegos,gtld,false,true
juniper,gtld,true,false
kaufen,gtld,false,true
kddi,gtld,true,true
ke,cctld,false,true
kerryhotels,gtld,true,false
kerryproperties,gtld,true,false
kfh,gtld,true,false
kg,cctld,false,true
kh,cctld,false,true
ki,cctld,false,true
kia,gtld,true,true
kids,gtld,false,false
kim,gtld,false,true
kindle,gtld,true,false
kitchen,gtld,false,true
kiwi,gtld,false,true
km,cctld,false,true
kn,cctld,false,true
koeln,gtld,false,true
komatsu,gtld,true,true
kosher,gtld,false,false
kp,cctld,false,true
kpmg,gtld,true,false
kpn,gtld,true,false
kr,cctld,false,true
krd,gtld,false,true
kred,gtld,false,true
kuokgroup,gtld,true,false
kw,cctld,false,true
ky,cctld,false,true
kyoto,gtld,false,true
kz,cctld,false,true
la,cctld,false,true
lacaixa,gtld,true,true
lamborghini,gtld,true,false
lamer,gtld,true,false
land,gtld,false,true
landrover,gtld,true,true
lanxess,gtld,true,false
lasalle,gtld,true,true
lat,gtld,false,true
latino,gtld,false,false
latrobe,gtld,true,true
law,gtld,false,true
lawyer,gtld,false,true
lb,cctld,false,true
lc,cctld,false,true
lds,gtld,true,true
lease,gtld,false,true
leclerc,gtld,true,true
lefrak,gtld,true,false
legal,gtld,false,true
lego,gtld,true,false
lexus,gtld,true,true
lgbt,gtld,false,true
li,cctld,false,true
lidl,gtld,true,true
life,gtld,false,true
lifeinsurance,gtld,false,false
lifestyle,gtld,false,true
lighting,gtld,false,true
like,gtld,true,false
lilly,gtld,true,false
limited,gtld,false,true
limo,gtld,false,true
lincoln,gtld,true,false
link,gtld,false,true
live,gtld,false,true
living,gtld,false,false
lk,cctld,false,true
llc,gtld,false,false
llp,gtld,false,false
loan,gtld,false,true
loans,gtld,false,true
locker,gtld,true,false
locus,gtld,true,false
lol,gtld,false,true
london,gtld,false,true
lotte,gtld,true,true
lotto,gtld,false,true
love,gtld,false,true
lpl,gtld,true,false
lplfinancial,gtld,true,false
lr,cctld,false,true
ls,cctld,false,true
lt,cctld,false,true
ltd,gtld,false,true
ltda,gtld,false,true
lu,cctld,false,true
lundbeck,gtld,true,false
luxe,gtld,false,true
luxury,gtld,false,true
lv,cctld,false,true
ly,cctld,false,true
ma,cctld,false,true
madrid,gtld,false,true
maif,gtld,true,true
maison,gtld,false,true
makeup,gtld,true,false
man,gtld,true,true
management,gtld,false,true
mango,gtld,true,true
map,gtld,false,false
market,gtld,false,true
marketing,gtld,false,true
markets,gtld,false,true
marriott,gtld,true,true
marshalls,gtld,true,false
mattel,gtld,true,false
mba,gtld,false,true
mc,cctld,false,true
mckinsey,gtld,true,false
md,cctld,false,true
me,cctld,false,true
med,gtld,false,false
media,gtld,false,true
meet,gtld,false,true
melbourne,gtld,false,true
meme,gtld,false,true
memorial,gtld,false,true
men,gtld,false,true
menu,gtld,false,true
merckmsd,gtld,true,false
mg,cctld,false,true
mh,cctld,false,true
miami,gtld,false,true
microsoft,gtld,true,true
mil,gtld,false,true
mini,gtld,true,true
mint,gtld,true,false
mit,gtld,true,false
mitsubishi,gtld,true,false
mk,cctld,false,true
ml,cctld,false,true
mlb,gtld,true,false
mls,gtld,false,false
mm,cctld,false,true
mma,gtld,true,true
mn,cctld,false,true
mo,cctld,false,true
mobi,gtld,false,true
mobile,gtld,false,false
moda,gtld,false,true
moe,gtld,false,true
moi,gtld,true,true
mom,gtld,false,true
monash,gtld,true,true
money,gtld,false,true
monster,gtld,true,false
mormon,gtld,true,true
mortgage,gtld,false,true
moscow,gtld,false,true
moto,gtld,true,false
motorcycles,gtld,false,true
mov,gtld,false,true
movie,gtld,false,true
mp,cctld,false,true
mq,cctld,false,true
mr,cctld,false,true
ms,cctld,false,true
msd,gtld,true,false
mt,cctld,false,true
mtn,gtld,true,true
mtr,gtld,true,true
mu,cctld,false,true
museum,gtld,false,true
music,gtld,false,false
mv,cctld,false,true
mw,cctld,false,true
mx,cctld,false,true
my,cctld,false,true
mz,cctld,false,true
na,cctld,false,true
nab,gtld,true,false
nagoya,gtld,false,true
name,gtld,false,true
navy,gtld,false,true
nba,gtld,true,false
nc,cctld,false,true
ne,cctld,false,true
nec,gtld,true,true
net,gtld,false,true
netbank,gtld,true,true
netflix,gtld,true,false
network,gtld,false,true
neustar,gtld,true,true
new,gtld,false,true
news,gtld,false,true
next,gtld,true,false
nextdirect,gtld,true,false
nexus,gtld,true,true
nf,cctld,false,true
nfl,gtld,true,false
ng,cctld,false,true
ngo,gtld,false,true
nhk,gtld,true,true
ni,cctld,false,true
nico,gtld,true,true
nike,gtld,true,false
nikon,gtld,true,false
ninja,gtld,false,true
nissan,gtld,true,true
nissay,gtld,true,false
nl,cctld,false,true
no,cctld,false,true
nokia,gtld,true,true
norton,gtld,true,false
now,gtld,false,false
nowruz,gtld,true,false
nowtv,gtld,true,false
np,cctld,false,true
nr,cctld,false,true
nra,gtld,true,true
nrw,gtld,false,true
ntt,gtld,true,true
nu,cctld,false,true
nyc,gtld,false,true
nz,cctld,false,true
obi,gtld,true,true
observer,gtld,true,false
office,gtld,true,true
okinawa,gtld,false,true
olayan,gtld,true,false
olayangroup,gtld,true,false
ollo,gtld,true,false
om,cctld,false,true
omega,gtld,true,true
one,gtld,false,true
ong,gtld,false,true
onl,gtld,false,true
online,gtld,false,true
ooo,gtld,false,true
open,gtld,true,false
oracle,gtld,true,true
orange,gtld,true,true
org,gtld,false,true
organic,gtld,false,true
origins,gtld,true,false
osaka,gtld,false,true
otsuka,gtld,true,true
ott,gtld,true,false
ovh,gtld,false,true
pa,cctld,false,true
page,gtld,false,true
panasonic,gtld,true,false
paris,gtld,false,true
pars,gtld,false,false
partners,gtld,false,true
parts,gtld,false,true
party,gtld,false,true
pay,gtld,false,false
pccw,gtld,true,false
pe,cctld,false,true
pet,gtld,false,true
pf,cctld,false,true
pfizer,gtld,true,false
pg,cctld,false,true
ph,cctld,false,true
pharmacy,gtld,false,true
phd,gtld,false,false
philips,gtld,true,true
phone,gtld,false,false
photo,gtld,false,true
photography,gtld,false,true
photos,gtld,false,true
physio,gtld,false,true
pics,gtld,false,true
pictet,gtld,true,true
pictures,gtld,false,true
pid,gtld,false,false
pin,gtld,false,false
ping,gtld,true,true
pink,gtld,false,true
pioneer,gtld,true,false
pizza,gtld,false,true
pk,cctld,false,true
pl,cctld,false,true
place,gtld,false,true
play,gtld,false,true
playstation,gtld,true,true
plumbing,gtld,false,true
plus,gtld,false,true
pm,cctld,false,true
pn,cctld,false,true
pnc,gtld,true,false
pohl,gtld,true,true
poker,gtld,false,true
politie,gtld,true,false
porn,gtld,false,true
post,gtld,false,true
pr,cctld,false,true
praxi,gtld,true,true
press,gtld,false,true
prime,gtld,true,false
pro,gtld,false,true
prod,gtld,true,true
productions,gtld,false,true
prof,gtld,false,true
progressive,gtld,true,false
promo,gtld,false,false
properties,gtld,false,true
property,gtld,false,true
protection,gtld,false,true
pru,gtld,true,false
prudential,gtld,true,false
ps,cctld,false,true
pt,cctld,false,true
pub,gtld,false,true
pw,cctld,false,true
pwc,gtld,true,false
py,cctld,false,true
qa,cctld,false,true
qpon,gtld,false,true
quebec,gtld,false,true
quest,gtld,true,false
racing,gtld,false,true
radio,gtld,false,false
re,cctld,false,true
read,gtld,true,false
realestate,gtld,false,false
realtor,gtld,false,true
realty,gtld,false,true
recipes,gtld,false,true
red,gtld,false,true
redumbrella,gtld,true,false
rehab,gtld,false,true
reise,gtld,false,true
reisen,gtld,false,true
reit,gtld,false,true
reliance,gtld,true,false
ren,gtld,true,true
rent,gtld,false,true
rentals,gtld,false,true
repair,gtld,false,true
report,gtld,false,true
republican,gtld,false,true
rest,gtld,false,true
restaurant,gtld,false,true
review,gtld,false,true
reviews,gtld,false,true
rexroth,gtld,true,false
rich,gtld,false,true
richardli,gtld,true,false
ricoh,gtld,true,true
ril,gtld,true,false
rio,gtld,false,true
rip,gtld,false,true
ro,cctld,false,true
rocks,gtld,false,true
rodeo,gtld,false,true
rogers,gtld,true,false
room,gtld,false,false
rs,cctld,false,true
rsvp,gtld,false,true
ru,cctld,false,true
rugby,gtld,false,false
ruhr,gtld,false,true
run,gtld,false,true
rw,cctld,false,true
rwe,gtld,true,true
ryukyu,gtld,false,true
sa,cctld,false,true
saarland,gtld,false,true
safe,gtld,false,false
safety,gtld,false,false
sakura,gtld,true,true
sale,gtld,false,true
salon,gtld,false,false
samsclub,gtld,true,false
samsung,gtld,true,true
sandvik,gtld,true,true
sandvikcoromant,gtld,true,true
sanofi,gtld,true,true
sap,gtld,true,true
sarl,gtld,false,true
sas,gtld,true,false
save,gtld,false,false
saxo,gtld,true,true
sb,cctld,false,true
sbi,gtld,true,false
sbs,gtld,true,true
sc,cctld,false,true
scb,gtld,true,true
schaeffler,gtld,true,false
schmidt,gtld,true,true
scholarships,gtld,false,true
school,gtld,false,true
schule,gtld,false,true
schwarz,gtld,true,true
science,gtld,false,true
scot,gtld,false,true
sd,cctld,false,true
se,cctld,false,true
search,gtld,false,false
seat,gtld,true,true
secure,gtld,false,false
security,gtld,false,true
seek,gtld,true,true
select,gtld,true,false
sener,gtld,true,true
services,gtld,false,true
seven,gtld,true,true
sew,gtld,true,true
sex,gtld,false,true
sexy,gtld,false,true
sfr,gtld,true,false
sg,cctld,false,true
sh,cctld,false,true
shangrila,gtld,true,false
sharp,gtld,true,false
shell,gtld,true,false
shia,gtld,false,false
shiksha,gtld,false,true
shoes,gtld,false,true
shop,gtld,false,false
shopping,gtld,false,false
shouji,gtld,true,false
show,gtld,false,true
si,cctld,false,true
silk,gtld,true,false
sina,gtld,true,false
singles,gtld,false,true
site,gtld,false,true
sj,cctld,false,true
sk,cctld,false,true
ski,gtld,false,true
skin,gtld,false,false
sky,gtld,true,true
skype,gtld,true,true
sl,cctld,false,true
sling,gtld,true,false
sm,cctld,false,true
smart,gtld,true,false
smile,gtld,false,false
sn,cctld,false,true
sncf,gtld,true,true
so,cctld,false,true
soccer,gtld,false,true
social,gtld,false,true
softbank,gtld,true,false
software,gtld,false,true
sohu,gtld,true,true
solar,gtld,false,true
solutions,gtld,false,true
song,gtld,true,false
sony,gtld,true,true
soy,gtld,false,true
spa,gtld,false,false
space,gtld,false,true
sport,gtld,false,false
spot,gtld,false,false
sr,cctld,false,true
srl,gtld,false,true
ss,cctld,false,false
st,cctld,false,true
stada,gtld,true,true
staples,gtld,true,false
star,gtld,true,false
statebank,gtld,true,false
statefarm,gtld,true,false
stc,gtld,true,true
stcgroup,gtld,true,true
stockholm,gtld,false,true
storage,gtld,false,false
store,gtld,false,false
stream,gtld,false,false
studio,gtld,false,true
study,gtld,false,true
style,gtld,false,true
su,cctld,false,true
sucks,gtld,false,true
supplies,gtld,false,true
supply,gtld,false,true
support,gtld,false,true
surf,gtld,false,true
surgery,gtld,false,true
suzuki,gtld,true,true
sv,cctld,false,true
swatch,gtld,true,true
swiss,gtld,false,true
sx,cctld,false,true
sy,cctld,false,true
sydney,gtld,false,true
systems,gtld,false,true
sz,cctld,false,true
tab,gtld,true,true
taipei,gtld,false,true
talk,gtld,false,false
taobao,gtld,true,false
target,gtld,true,false
tatamotors,gtld,true,true
tatar,gtld,false,true
tattoo,gtld,false,true
tax,gtld,false,true
taxi,gtld,false,true
tc,cctld,false,true
tci,gtld,true,false
td,cctld,false,true
tdk,gtld,true,false
team,gtld,false,true
tech,gtld,false,true
technology,gtld,false,true
tel,gtld,false,true
temasek,gtld,true,true
tennis,gtld,false,true
teva,gtld,true,false
tf,cctld,false,true
tg,cctld,false,true
th,cctld,false,true
thd,gtld,true,true
theater,gtld,false,true
theatre,gtld,false,true
tiaa,gtld,true,false
tickets,gtld,false,true
tienda,gtld,false,true
tips,gtld,false,true
tires,gtld,false,true
tirol,gtld,false,true
tj,cctld,false,true
tjmaxx,gtld,true,false
tjx,gtld,true,false
tk,cctld,false,true
tkmaxx,gtld,true,false
tl,cctld,false,true
tm,cctld,false,true
tmall,gtld,true,false
tn,cctld,false,true
to,cctld,false,true
today,gtld,false,true
tokyo,gtld,false,true
tools,gtld,false,true
top,gtld,false,true
toray,gtld,true,true
toshiba,gtld,true,true
total,gtld,true,false
tours,gtld,false,true
town,gtld,false,true
toyota,gtld,true,true
toys,gtld,false,true
tr,cctld,false,true
trade,gtld,false,true
trading,gtld,false,true
training,gtld,false,true
travel,gtld,false,true
travelers,gtld,true,false
travelersinsurance,gtld,true,false
trust,gtld,false,true
trv,gtld,true,false
tt,cctld,false,true
tube,gtld,false,false
tui,gtld,true,true
tunes,gtld,false,false
tushu,gtld,true,false
tv,cctld,false,true
tvs,gtld,true,false
tw,cctld,false,true
tz,cctld,false,true
ua,cctld,false,true
ubank,gtld,true,false
ubs,gtld,true,true
ug,cctld,false,true
uk,cctld,false,true
unicom,gtld,true,false
university,gtld,false,true
uno,gtld,false,true
uol,gtld,true,true
ups,gtld,true,false
us,cctld,false,true
uy,cctld,false,true
uz,cctld,false,true
va,cctld,false,true
vacations,gtld,false,true
vana,gtld,true,true
vanguard,gtld,true,false
vc,cctld,false,true
ve,cctld,false,true
vegas,gtld,false,true
ventures,gtld,false,true
verisign,gtld,true,false
versicherung,gtld,false,true
vet,gtld,false,true
vg,cctld,false,true
vi,cctld,false,true
viajes,gtld,false,true
video,gtld,false,true
vig,gtld,true,false
viking,gtld,true,false
villas,gtld,false,true
vin,gtld,false,true
vip,gtld,false,false
virgin,gtld,true,true
visa,gtld,true,false
vision,gtld,false,true
viva,gtld,true,true
vivo,gtld,true,false
vlaanderen,gtld,false,true
vn,cctld,false,true
vodka,gtld,false,true
volvo,gtld,true,false
vote,gtld,false,true
voting,gtld,false,true
