Zone,Type,Brand,AutoLinked
lanxess,gtld,true,false
lasalle,gtld,false,false
lat,gtld,false,false
latino,gtld,false,false
latrobe,gtld,true,false
law,gtld,false,false
lawyer,gtld,false,false
lb,cctld,false,false
lc,cctld,false,true
lds,gtld,true,false
lease,gtld,false,false
leclerc,gtld,true,false
lefrak,gtld,true,false
legal,gtld,false,false
lego,gtld,true,false
lexus,gtld,true,false
lgbt,gtld,false,false
li,cctld,false,true
lidl,gtld,true,false
life,gtld,false,false
lifeinsurance,gtld,false,false
lifestyle,gtld,false,false
lighting,gtld,false,false
like,gtld,false,false
lilly,gtld,true,false
limited,gtld,false,false
limo,gtld,false,false
lincoln,gtld,true,false
link,gtld,false,true
live,gtld,false,false
living,gtld,false,false
lk,cctld,false,true
llc,gtld,false,false
llp,gtld,false,false
loan,gtld,false,true
loans,gtld,false,false
locker,gtld,false,false
locus,gtld,true,false
lol,gtld,false,false
london,gtld,false,false
lotte,gtld,true,false
lotto,gtld,false,false
love,gtld,false,false
lpl,gtld,true,false
lplfinancial,gtld,true,false
lr,cctld,false,false
ls,cctld,false,false
lt,cctld,false,false
ltd,gtld,false,false
ltda,gtld,false,false
lu,cctld,false,true
lundbeck,gtld,true,false
luxe,gtld,false,false
luxury,gtld,false,false
lv,cctld,false,true
ly,cctld,false,true
ma,cctld,false,true
madrid,gtld,false,false
maif,gtld,true,false
maison,gtld,false,false
makeup,gtld,false,false
man,gtld,true,false
management,gtld,false,false
mango,gtld,false,false
map,gtld,false,false
market,gtld,false,false
marketing,gtld,false,false
markets,gtld,false,false
marriott,gtld,true,false
marshalls,gtld,true,false
mattel,gtld,true,false
mba,gtld,false,false
mc,cctld,false,false
mckinsey,gtld,true,false
md,cctld,false,false
me,cctld,false,true
med,gtld,false,false
media,gtld,false,false
meet,gtld,false,false
melbourne,gtld,false,false
meme,gtld,false,false
memorial,gtld,false,false
men,gtld,false,false
menu,gtld,false,false
merckmsd,gtld,false,false
mg,cctld,false,false
mh,cctld,false,false
miami,gtld,false,false
microsoft,gtld,true,false
mil,gtld,false,false
mini,gtld,true,false
mint,gtld,true,false
mit,gtld,true,false
mitsubishi,gtld,true,false
mk,cctld,false,false
ml,cctld,false,false
